session_id,judge_score,length,AI_ratio,sum_semantic_score,prompt_code
007769c9000e457eae8485221041802d,8,2060.0,0.1493212669683258,7.500452506107925,shapeshifter
00d39011efcb4533ab12076801f74f42,6,1718.0,0.2337411461687057,11.972819856698,shapeshifter
0139e814be15409dbab46c2d2d9ca07f,8,2609.0,0.1223709369024856,4.233702490744919,mattdamon
01650a401e614c38a04a904165a5784f,6,1505.0,0.46580547112462,9.17741773843071,sideeffect
01a3e8d4e52f4f1483bf48b33cd88cd9,8,2729.0,0.3293323330832708,15.012517664016574,reincarnation
029d014b392a4c41b711153a08cea400,8,2311.0,0.2903388973191704,7.808158118411398,pig
02a0a1349a8045bd969dfc3948ec4796,7,2680.0,0.1829996487530734,6.197958317127731,mattdamon
02ef07c642254b088b72486ce41e010c,8,3979.0,0.3968004196170994,20.704973218168885,bee
030168a0260f4701bb8c82e185b2c6c4,8,3270.0,0.5030358227079539,6.81474978841779,mattdamon
04382674f44c40b592c703ae0f63c2ed,7,3671.0,0.3501722158438576,10.651167697072063,sideeffect
047a25c3382c42999ceb1c78f6ebd524,6,1549.0,0.0466876971608832,4.34901124526003,sideeffect
047e78f3d0a94ea4a3433d4358b53adf,7,2159.0,0.4155206286836935,14.201428895688526,shapeshifter
04a4118571c642a18348c2e4a01f67c0,7,2069.0,0.1135869565217391,7.551919059930127,obama
050118bfac954920a524e7070132690b,6,1992.0,0.0808748728382502,3.65436434851291,shapeshifter
0554d7947d9444bc96f9a9512f4ae989,8,2132.0,0.2538461538461538,10.247853990688942,reincarnation
057b11be0cbb400ea2cfda2cf75292b2,8,2003.0,0.1861042183622828,8.246252857498524,pig
057fad39f01646e5901eb1fb4dd33aca,7,1814.0,0.2184873949579832,8.482383324531677,obama
05a000131fc642f7bb20b62bb20a326e,7,1900.0,0.1273857079449622,5.442368424000078,dad
05b655163b1e4e38b76c2785a0aea5bb,6,1785.0,0.1086165048543689,7.645082965546676,shapeshifter
05dd6e0c70cd41caacfcc3d44beca27b,6,1309.0,0.1552962298025134,2.851803922470165,mana
06209e0aab79451d994d756ff3542754,6,3047.0,0.1447756305273501,8.046379868743701,isolation
0676be9886614881a7c2f933ef80337e,6,1547.0,0.4233261339092872,11.875268138860765,reincarnation
0701c34e77564a46accbddb80138116c,8,1725.0,0.2475975127190503,5.41864301757548,mattdamon
0722c529c6924e989c5723366906e6d2,7,1975.0,0.4845099035043169,7.471180100137153,mattdamon
